"anime_id","title","type","source","episodes","status","aired_string","aired","aired_year","duration","duration_minutes","rating","score","scored_by","rank","popularity","members","favorites","studio","genre","main_genre"
11013,"Inu x Boku SS","TV","Manga",12,"Finished Airing","Jan 13, 2012 to Mar 30, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",2012,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.63,139250,1274,231,283882,2809,"David Production","Comedy, Supernatural, Romance, Shounen","Comedy"
2104,"Seto no Hanayome","TV","Manga",26,"Finished Airing","Apr 2, 2007 to Oct 1, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",2007,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.89,91206,727,366,204003,2579,"Gonzo","Comedy, Parody, Romance, School, Shounen","Comedy"
5262,"Shugo Chara!! Doki","TV","Manga",51,"Finished Airing","Oct 4, 2008 to Sep 25, 2009","{'from': '2008-10-04', 'to': '2009-09-25'}",2008,"24 min. per ep.",24,"PG - Children",7.55,37129,1508,1173,70127,802,"Satelight","Comedy, Magic, School, Shoujo","Comedy"
721,"Princess Tutu","TV","Original",38,"Finished Airing","Aug 16, 2002 to May 23, 2003","{'from': '2002-08-16', 'to': '2003-05-23'}",2002,"16 min. per ep.",16,"PG-13 - Teens 13 or older",8.21,36501,307,916,93312,3344,"Hal Film Maker","Comedy, Drama, Magic, Romance, Fantasy","Comedy"
12365,"Bakuman. 3rd Season","TV","Manga",25,"Finished Airing","Oct 6, 2012 to Mar 30, 2013","{'from': '2012-10-06', 'to': '2013-03-30'}",2012,"24 min. per ep.",24,"PG-13 - Teens 13 or older",8.67,107767,50,426,182765,2082,"J.C.Staff","Comedy, Drama, Romance, Shounen","Comedy"
6586,"Yume-iro Pâtissière","TV","Manga",50,"Finished Airing","Oct 4, 2009 to Sep 26, 2010","{'from': '2009-10-04', 'to': '2010-09-26'}",2009,"24 min. per ep.",24,"G - All Ages",8.03,21618,526,1630,45625,826,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo","Kids"
178,"Ultra Maniac","TV","Manga",26,"Finished Airing","May 20, 2003 to Nov 11, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",2003,"24 min. per ep.",24,"G - All Ages",7.26,9663,2594,2490,22778,122,"Production Reed","Magic, Comedy, Romance, School, Shoujo","Magic"
2787,"Shakugan no Shana II (Second)","TV","Book",24,"Finished Airing","Oct 5, 2007 to Mar 28, 2008","{'from': '2007-10-05', 'to': '2008-03-28'}",2007,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.72,126085,1066,332,220591,1075,"J.C.Staff","Action, Drama, Fantasy, Romance, School, Supernatural","Action"
4477,"Nodame Cantabile: Paris-hen","TV","Manga",11,"Finished Airing","Oct 10, 2008 to Dec 19, 2008","{'from': '2008-10-10', 'to': '2008-12-19'}",2008,"23 min. per ep.",23,"PG-13 - Teens 13 or older",8.24,53908,281,988,85660,282,"J.C.Staff","Music, Slice of Life, Comedy, Romance, Josei","Music"
853,"Ouran Koukou Host Club","TV","Manga",26,"Finished Airing","Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",2006,"23 min. per ep.",23,"PG-13 - Teens 13 or older",8.34,335137,205,69,538843,24072,"Bones","Comedy, Harem, Romance, School, Shoujo","Comedy"
4814,"Junjou Romantica 2","TV","Manga",12,"Finished Airing","Oct 12, 2008 to Dec 28, 2008","{'from': '2008-10-12', 'to': '2008-12-28'}",2008,"24 min. per ep.",24,"PG-13 - Teens 13 or older",8.15,66565,374,799,108186,1123,"Studio Deen","Comedy, Drama, Romance, Shounen Ai","Comedy"
7054,"Kaichou wa Maid-sama!","TV","Manga",26,"Finished Airing","Apr 2, 2010 to Sep 24, 2010","{'from': '2010-04-02', 'to': '2010-09-24'}",2010,"24 min. per ep.",24,"PG-13 - Teens 13 or older",8.2,315130,314,71,531292,14436,"J.C.Staff","Comedy, Romance, School, Shoujo","Comedy"
11123,"Sekaiichi Hatsukoi 2","TV","Manga",12,"Finished Airing","Oct 8, 2011 to Dec 24, 2011","{'from': '2011-10-08', 'to': '2011-12-24'}",2011,"24 min. per ep.",24,"PG-13 - Teens 13 or older",8.23,53285,288,945,89543,726,"Studio Deen","Comedy, Drama, Romance, Shounen Ai","Comedy"
14227,"Tonari no Kaibutsu-kun","TV","Manga",13,"Finished Airing","Oct 2, 2012 to Dec 25, 2012","{'from': '2012-10-02', 'to': '2012-12-25'}",2012,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.71,281448,1093,88,482105,4064,"Brain&#039;s Base","Slice of Life, Comedy, Romance, School, Shoujo","Slice of Life"
269,"Bleach","TV","Manga",366,"Finished Airing","Oct 5, 2004 to Mar 27, 2012","{'from': '2004-10-05', 'to': '2012-03-27'}",2004,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.9,433097,693,18,819284,40718,"Studio Pierrot","Action, Adventure, Comedy, Super Power, Supernatural, Shounen","Action"
59,"Chobits","TV","Manga",26,"Finished Airing","Apr 3, 2002 to Sep 25, 2002","{'from': '2002-04-03', 'to': '2002-09-25'}",2002,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.53,175388,1546,188,317641,3271,"Madhouse","Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen","Sci-Fi"
6045,"Kimi ni Todoke","TV","Manga",25,"Finished Airing","Oct 7, 2009 to Mar 31, 2010","{'from': '2009-10-07', 'to': '2010-03-31'}",2009,"22 min. per ep.",22,"PG-13 - Teens 13 or older",8.13,212710,400,111,417136,8041,"Production I.G","Slice of Life, Drama, Romance, School, Shoujo","Slice of Life"
1735,"Naruto: Shippuuden","TV","Manga",500,"Finished Airing","Feb 15, 2007 to Mar 23, 2017","{'from': '2007-02-15', 'to': '2017-03-23'}",2007,"23 min. per ep.",23,"PG-13 - Teens 13 or older",8.18,385179,337,20,794112,42846,"Studio Pierrot","Action, Adventure, Comedy, Super Power, Martial Arts, Shounen","Action"
210,"Ranma ½","TV","Manga",161,"Finished Airing","Apr 15, 1989 to Sep 25, 1992","{'from': '1989-04-15', 'to': '1992-09-25'}",1989,"24 min. per ep.",24,"R+ - Mild Nudity",7.85,59911,802,623,134537,2742,"Studio Deen","Slice of Life, Comedy, Martial Arts, Fantasy","Slice of Life"
